De,,Para,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PORTARIA N. 47, DE 14 DE FEVEREIRO DE 2020. DO ARQUIVO NACIONAL (REVOGADA)",,PORTARIA AN/MGI Nº 174/2024 (EM VIGOR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,DESCRITOR DO CÓDIGO,CÓDIGO,DESCRITOR DO CÓDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.156,Encargo de curso e concurso (Gratificações),023.156,Encargo de curso e concurso (Gratificações),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.157,Titulação (Gratificações),023.157,Titulação (Gratificações),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.16,Adicionais,023.16,Adicionais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.161,Tempo de serviço (Adicionais),023.161,Tempo de serviço (Adicionais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.162,Noturno (Adicionais),023.162,Noturno (Adicionais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.163,Periculosidade (Adicionais),023.163,Periculosidade (Adicionais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.164,Insalubridade (Adicionais),023.164,Insalubridade (Adicionais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.165,Atividade penosa (Adicionais),023.165,Atividade penosa (Adicionais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.166,Serviço extraordinário. Horas extras (Adicionais),023.166,Serviço extraordinário. Horas extras (Adicionais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.167,Um terço de férias. Abono pecuniário (Adicionais),023.167,Um terço de férias. Abono pecuniário (Adicionais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.17,Descontos,023.17,Descontos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.171,"Contribuição sindical, assistencial e confederativa (Descontos)",023.171,"Contribuição sindical, assistencial e confederativa (Descontos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.172,Contribuição para o plano de seguridade social (Descontos),023.172,Contribuição para o plano de seguridade social (Descontos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
